OBJECTID,ID,HOSPITAL_ NAME,ADDRESS,CITY,STUSPS,ZIP,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,ST_FIPS,OWNER,BEDS,TRAUMA,HELIPAD,ZCTA5CE10
3001,12645123,ADENA GREENFIELD MEDICAL CENTER,550 MIRABEAU STREET,GREENFIELD,OH,45123,(937) 981-9400,CRITICAL ACCESS,OPEN,25,HIGHLAND,39071,USA,39.34866733,-83.38773194,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,2018-08-10T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.adena.org/locations/detail.dT/adena-greenfield-medical-center,39,NON-PROFIT,25,NOT AVAILABLE,N,45123
3002,17244654,POMERENE HOSPITAL,981 WOOSTER ROAD,MILLERSBURG,OH,44654,(330) 674-1015,GENERAL ACUTE CARE,OPEN,69,HOLMES,39075,USA,40.56509454,-81.91990673,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,2018-08-10T00:00:00.000Z,IMAGERY,2014-01-31T00:00:00.000Z,http://www.pomerenehospital.org,39,GOVERNMENT - LOCAL,69,NOT AVAILABLE,N,44654
3003,2543055,LICKING MEMORIAL HOSPITAL,1320 WEST MAIN STREET,NEWARK,OH,43055,(740) 348-4000,GENERAL ACUTE CARE,OPEN,213,LICKING,39089,USA,40.04830193,-82.45063523,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,2018-08-10T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.lmhealth.org,39,NON-PROFIT,213,NOT AVAILABLE,Y,43055
3004,5843311,MARY RUTAN HOSPITAL,205 PALMER AVENUE,BELLEFONTAINE,OH,43311,(937) 592-4015,GENERAL ACUTE CARE,OPEN,115,LOGAN,39091,USA,40.36954177,-83.75553126,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,2018-08-10T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.maryrutan.org,39,NON-PROFIT,115,NOT AVAILABLE,N,43311
3005,5544074,MERCY ALLEN HOSPITAL,200 WEST LORAIN STREET,OBERLIN,OH,44074,(440) 775-1211,CRITICAL ACCESS,OPEN,25,LORAIN,39093,USA,41.29506476,-82.22471297,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,2018-08-10T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.mercyonline.org/mercy_allen_hospital.aspx,39,NON-PROFIT,25,NOT AVAILABLE,Y,44074
3006,11844501,NORTHSIDE MEDICAL CENTER,500 GYPSY LANE,YOUNGSTOWN,OH,44501,(330) 884-3090,GENERAL ACUTE CARE,OPEN,398,MAHONING,39099,USA,41.13500507,-80.65803839,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,2018-08-10T00:00:00.000Z,IMAGERY,2014-02-04T00:00:00.000Z,http://www.northsidemedicalcenter.net,39,PROPRIETARY,398,NOT AVAILABLE,Y,44501
3007,1084721,VALLEY VIEW MEDICAL CENTER,1303 NORTH MAIN STREET,CEDAR CITY,UT,84721,(435) 868-5000,GENERAL ACUTE CARE,OPEN,48,IRON,49021,USA,37.69976036,-113.0666749,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,2018-08-11T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.ihc.com,49,NON-PROFIT,48,LEVEL IV,Y,84721
3008,2484648,CENTRAL VALLEY MEDICAL CENTER,48 WEST 1500 NORTH,NEPHI,UT,84648,(435) 623-3000,CRITICAL ACCESS,OPEN,25,JUAB,49023,USA,39.73146216,-111.8377406,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,2018-08-11T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.cvmed.net,49,NON-PROFIT,25,NOT AVAILABLE,Y,84648
3009,2887901,SIERRA VISTA HOSPITAL,800 EAST NINTH AVENUE,TRUTH OR CONSEQUENCES,NM,87901,(575) 894-2111,CRITICAL ACCESS,OPEN,25,SIERRA,35051,USA,33.14018908,-107.241937,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,2018-08-09T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.svhnm.org,35,GOVERNMENT - FEDERAL,25,LEVEL IV,Y,87901
3010,2188240,LEA REGIONAL MEDICAL CENTER,5419 NORTH LOVINGTON HIGHWAY,HOBBS,NM,88240,(575) 492-5000,GENERAL ACUTE CARE,OPEN,186,LEA,35025,USA,32.76231971,-103.184921,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,2018-08-09T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.learegionalmedical.com,35,PROPRIETARY,186,NOT AVAILABLE,Y,88240
